_id,School,subschool,descriptors,Brd,Clr,Drd,Pal,Rgr,Wiz,Spell Name,Effect,Comp,Time,Range,Duration,Save,SR,Full,gp,xp
,,,,0,0,0,,,0,Mending,Makes minor repairs on an object.,vs,1 action,10 ft.,Instantaneous,Will negates,Yes,,,
,,,,1,,,,,1,Message,Whispered conversation at distance.,vsf,1 action,Medium (100 ft. + 10 ft./level),10 minutes/level,None,No,,,
,,,,,,,,,9,Meteor Swarm,"Deals 24d6 fire damage, plus bursts.",vs,1 action,Long (400 ft. + 40 ft./level),Instantaneous,None or Reflex half,Yes,,,
,,,,,,,,,8,Mind Blank,Subject is immune to mental/emotional magic and scrying.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 day,Will negates,Yes,,,
,,,,5,,,,,5,Mind Fog,"Subjects in fog get -10 Wis, Will checks.",vs,1 action,Medium (100 ft. + 10 ft./level),30 minutes/+2d6 rounds,Will negates,Yes,,,
,Conj,,,,,,,,4,Minor Creation,Creates one cloth or wood object.,vsm,1 minute,0 ft.,1 hour/level,None,No,,,
,,,,,,,,,4,Minor Globe of Invulnerability,Stops 1st- through 3rd-level spell effects.,vsm,1 action,10 ft.,1 round/level,None,No,,,
,,,,2,,,,,2,Minor Image,"As silent image, plus some sound.",vsf,1 action,Long (400 ft. + 40 ft./level),Concentration+2 rounds,Will disbelief,No,,,
,,,,,9,,,,,Miracle,Requests a deity's intercession.,vsx,1 action,See text,See text,See text,Yes,,,
,,,,5,,,,,5,Mirage Arcana,"As hallucinatory terrain, plus structures.",vs,1 action,Long (400 ft. + 40 ft./level),Concentration+1 hour/level,Will disbelief,No,,,
,,,,2,,,,,2,Mirror Image,"Creates decoy duplicates of you (1d4 +1/three levels, max 8).",vs,1 action,Personal,1 minute/level,--,--,"Several illusory duplicates of the character pop into being, making it difficult for enemies to know which target to attack. The figments stay near the character and disappear when struck.

Mirror image creates 1d4 images plus one image per three caster levels (maximum eight images). These figments separate from the character and remain in a cluster, each within 5 feet of at least one other figment or the character. The character can move into and through a mirror image. When the character and the mirror image separate, observers can't use vision or hearing to tell which one is the character and which the image. The figments may also move through each other. The figments mimic the character's actions.

Enemies attempting to attack the character or cast spells at the character must select from among indistinguishable targets. Generally, roll randomly to see whether the selected target is real or a figment. Any successful attack roll against a figment destroys it. A figment's AC is 10 + size modifier + Dexterity modifier. Figments seem to react normally to area spells.

While moving, the character can merge with and split off from figments so that enemies who have learned which image is real are again confounded.

An attacker must be able to see the images to be fooled. If the character is invisible or an attacker shuts her eyes, the spell has no effect, though being unable to see carries the same penalties as being blinded: In addition to the obvious effects, a blinded creature suffers a 50% miss chance in combat (all opponents have full concealment), loses any Dexterity bonus to AC, grants a +2 bonus to attackers' attack rolls (they are effectively invisible), moves at half speed, and suffers a –4 penalty on most Strength- and Dexterity-based skills.",,
,,,,2,,,,,2,Misdirection,Misleads divinations for one creature or object.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,No,,,
,,,,5,,,,,6,Mislead,Turns you invisible and creates illusory double.,s,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,None/Will disbelief,No,,,
,,,,4,,,,,,Modify Memory,Changes 5 minutes of subject's memories.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Permanent,Will negates,Yes,,,
,Conj,,,,,,,,1,Mount,Summons riding horse for 2 hr./level.,vsm,1 full round,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,No,,,
,,,,,,,,,6,Move Earth,Digs trenches and build hills.,vsm,See text,Long (400 ft. + 40 ft./level),Instantaneous,None,No,,,
,,,,,,,,,1,N.'s Magic Aura,Grants object false magic aura.,vsf,1 action,Touch,1 day/level,None,No,,,
,,,,,,,,,1,N.'s Undetectable Aura,Masks magic item's aura.,vsf,1 action,Touch,1 day/level,None,No,,,
,,,,,3,,,,,Negative Energy Protection,Subject resists level and ability drains.,vs,1 action,Touch,1 round/level,Will negates,Yes,,,
,,,,4,4,3,4,3,,Neutralize Poison,Detoxifies venom in or on subject.,vsmd,1 action,Touch,Instantaneous,Will negates,Yes,,,
,,,,5,,,,,5,Nightmare,"Sends vision dealing 1d10 damage, fatigue.",vs,10 minutes,Unlimited,Instantaneous,Will negates,Yes,,,
,,,,,,,,4,3,Nondetection,"Hides subject from divination, scrying.",vsm,1 action,Touch,1 hour/level,Will negates,Yes,,,
,,,,,,,,,6,O.'s Freezing Sphere,Freezes water or deals cold damage.,vsf,1 action,See text,See text,See text,Yes,,,
,,,,,,,,,8,O.'s Irresistible Dance,Forces subject to dance.,v,1 action,Touch,1d4+1 rounds,None,Yes,,,
,,,,,,,,,4,O.'s Resilient Sphere,Force globe protects but traps one subject.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 minute /level,Reflex negates,Yes,,,
,,,,,,,,,8,O.'s Telekinetic Sphere,"As Otiluke's resilient sphere, but you move sphere telekinetically.",vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Reflex negates,Yes,,,
,,,,2,3,,,,2,Obscure Object,Masks object against divination.,vsmd,1 action,Touch,8 hours,Will negates,Yes,,,
,Conj,,,,1,1,,,1,Obscuring Mist,Fog surrounds you.,vs,1 action,30 ft.,1 minute/level,None,No,,,
,,,,0,,,,,0,Open/Close,Opens or closes small or light things.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,,,,,,Order's Wrath,Order's Wrath. Damages and dazes chaotic creatures.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Reflex partial,Yes,,,
,,,,,,1,,1,,Pass without Trace,One subject/level leaves no tracks.,vsd,1 action,Touch,10 minutes/level,Will negates,Yes,,,
,,,,,,,,,5,Passwall,Breaches walls 1 ft. thick/level.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,None,No,,,
,,,,,,,,,5,Permanency,Makes certain spells permanent; costs XP.,vsx,2 rounds,See text,Permanent,None,No,,,
,,,,6,,,,,6,Permanent Image,"Includes sight, sound, and smell.",vsf,1 action,Long (400 ft. + 40 ft./level),Permanent,Will disbelief,No,,,
,,,,5,,,,,5,Persistent Image,"As major image, but no concentration required.",vsf,1 action,Long (400 ft. + 40 ft./level),1 minute/level,Will disbelief,No,,,
,,,,,,,,,4,Phantasmal Killer,Fearsome illusion kills subject or deals 3d6 damage.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Will disbelief,Yes,,,
,Conj,,,3,,,,,3,Phantom Steed,Magical horse appears for 1 hour/level.,vs,10 minutes,0 ft.,1 hour/level,None,No,,,
,Conj,,,,,,,,7,Phase Door,Invisible passage through wood or stone.,v,1 action,Touch,One usage/two levels,None,No,,,
,,,,,6,,,,,Planar Ally,"As lesser planar ally, but up to 16 HD.",vsd,10 minutes,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,Conj,,,,,,,,6,Planar Binding,"As lesser planar binding, but up to 16 HD.",vsm,10 minutes,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,6,5,,,,7,Plane Shift,Up to eight subjects travel to another plane.,vsf,1 action,Touch,Instantaneous,Will negates,Yes,,,
,,,,,,3,,3,,Plant Growth,"Grows vegetation, improves crops.",vsd,1 action,See text,Instantaneous,None,No,,,
,,,,,4,3,,,,Poison,"Touch deals 1d10 Con damage, repeats in 1 min.",vsd,1 action,Touch,Instantaneous,Fortitude negates,Yes,,,
,,,,,,,,,8,Polymorph Any Object,Changes any subject into anything else.,vsmd,1 action,Close (25 ft. + 5 ft./2 levels),See text,Will negates,Yes,,,
,,,,,,,,,4,Polymorph Other,Gives one subject a new form.,vsm,1 action,Medium (100 ft. + 10 ft./level),Permanent,Fortitude negates,Yes,,,
,,,,,,,,4,4,Polymorph Self,You assume a new form.,v,1 action,Personal,1 hour/level,--,--,,,
,Conj,,,,,,,,8,"Power Word, Blind",Blinds 200 hp worth of creatures.,v,1 action,Close (25 ft. + 5 ft./2 levels),See text,None,Yes,,,
,Conj,,,,,,,,9,"Power Word, Kill",Kills one tough subject or many weak ones.,v,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,Yes,,,
,Conj,,,,,,,,7,"Power Word, Stun",Stuns creature with up to 150 hp.,v,1 action,Close (25 ft. + 5 ft./2 levels),See text,None,Yes,,,
,,,,,3,,3,,,Prayer,"Allies gain +1 on most rolls, and enemies suffer -1.",vsd,1 action,30 ft.,1 round/level,None,Yes,,,
,,,,0,,,,,0,Prestidigitation,Performs minor tricks.,vs,1 action,10 ft.,1 hour,See text,No,,,
,,,,,,,,,9,Prismatic Sphere,"As prismatic wall, but surrounds on all sides.",v,1 action,10 ft.,10 minutes/level,See text,Text,,,
,,,,,,,,,7,Prismatic Spray,Rays hit subjects with variety of effects.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,See text,Yes,,,
,,,,,,,,,8,Prismatic Wall,Wall's colors have array of effects.,vs,1 action,Close (25 ft. + 5 ft./2 levels),10 minutes/level,See text,Text,,,
,,,,,,2,,,,Produce Flame,"1d4 +1/two levels damage, touch or thrown.",vs,1 action,Touch,1 round/level,None,Yes,,,
,,,,6,,,,,6,Programmed Image,"As major image, plus triggered by event.",vsf,1 action,Long (400 ft. + 40 ft./level),"Permanent until triggered, then 1 round/level",Will disbelief,No,,,
,,,,6,,,,,6,Project Image,Illusory double can talk and cast spells.,vsm,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will disbelief,No,,,
,,,,,,,,,2,Protection from Arrows,Subject immune to most ranged attacks.,vsf,1 action,Touch,10 minutes/level or until discharged,Will negates,Yes,,,
,,,,1,1,,,,1,Protection from Chaos,"+2 AC and saves, counter mind control, hedge out elementals and outsiders.",vsmd,1 action,Touch,1 minute/level,Will negates,No,,,
,,,,,3,3,,2,3,Protection from Elements,Absorb 12 damage/level from one kind of energy.,vsd,1 action,Touch,10 minutes/level or until discharged,None,Yes,,,
,,,,1,1,,1,,1,Protection from Evil,"+2 AC and saves, counter mind control, hedge out elementals and outsiders.",vsmd,1 action,Touch,1 minute/level,Will negates,No,,,
,,,,1,1,,,,1,Protection from Good,"+2 AC and saves, counter mind control, hedge out elementals and outsiders.",vsmd,1 action,Touch,1 minute/level,Will negates,No,,,
,,,,1,1,,,,1,Protection from Law,"+2 AC and saves, counter mind control, hedge out elementals and outsiders.",vsmd,1 action,Touch,1 minute/level,Will negates,No,,,
,,,,,,,,,8,Protection from Spells,Confers +8 resistance bonus.,vsmf,1 action,Touch,10 minutes/level,Will negates,Yes,,,
,,,,,,,,,5,Prying Eyes,1d4 floating eyes +1/level scout for you.,vsm,1 minute,One mile,1 hour/level,None,No,,,
,,,,,0,0,,,,Purify Food and Drink,Purifies 1 cu. ft./level of food or water.,vs,1 action,10 ft.,Instantaneous,Will negates,Yes,,,
,,,,2,,,,,2,Pyrotechnics,Turns fire into blinding light or choking smoke.,vsm,1 action,Long (400 ft. + 40 ft./level),1d4+1 rounds or 1d4+1 rounds after creatures leave the smoke cloud,Will negates or Fortitude negates,Y/N,,,
,,,,,,4,,,,Quench,Extinguishes nonmagical fires or one magic item.,vsd,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None or Will negates,Y/N,,,
,,,,,,,,,4,R.'s Mnemonic Enhancer,Prepares extra spells or retains one just cast. (Wizard only.),vsmf,10 minutes,Personal,Instantaneous ,--,--,,,
,,,,,,,,,5,R.'s Telepathic Bond,Link lets allies communicate.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),10 minutes/level,None,No,,,
,,,,4,,,,,4,Rainbow Pattern,Lights prevent 24 HD of creatures from attacking or moving away.,,1 action,Medium (100 ft. + 10 ft./level),Concentration+1 round/level,Will negates,Yes,,,
,,,,,5,,,,,Raise Dead,Restores life to subject who died up to 1 day/level ago.,vsmd,1 minute,Touch,Instantaneous,None,Yes,,,
,,,,,1,,,,,Random Action,One creature acts randomly for one round.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),1 round,Will negates,Yes,,,
,,,,,,,,,1,Ray of Enfeeblement,Ray reduces Str by 1d6 points +1 point/two levels.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Fortitude negates,Yes,,,
,Conj,,,,,,,,0,Ray of Frost,Ray deals 1d3 cold damage.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,Yes,,,
,,,,0,0,0,1,1,0,Read Magic,Read scrolls and spellbooks.,vsf,1 action,Personal,10 minutes/level,--,--,,,
,,,,,,,,,1,Reduce,Object or creature shrinks 10%/level (max 50%).,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Fortitude negates,Yes,,,
,,,,,7,,,,9,Refuge,Alters item to transport its possessor to you.,vsm,1 action,Touch,Permanent until discharged,None,No,,,
,,,,,7,,,,,Regenerate,Subject's severed limbs grow back.,vsd,3 full rounds,Touch,Instantaneous,Fortitude negates,Yes,,,
,,,,,,4,,,,Reincarnate,Brings dead subject back in a random body.,vsd,10 minutes,Touch,Instantaneous,None,Yes,,,
,,,,,3,,3,,,Remove Blindness/Deafness,Cures normal or magical conditions.,vs,1 action,Touch,Instantaneous,Fortitude negates,Yes,,,
,,,,3,3,,,,4,Remove Curse,Frees object or person from curse.,vs,1 action,Touch,Instantaneous,Will negates,Yes,,,
,,,,3,3,3,,3,,Remove Disease,Cures all diseases affecting subject.,vs,1 action,Touch,Instantaneous,Fortitude negates,Yes,,,
,,,,,1,,,,,Remove Fear,+4 on saves against fear for one subject +1/four levels.,vs,1 action,Close (25 ft. + 5 ft./2 levels),10 minutes and see text,Will negates,Yes,,,
,,,,,2,,2,,,Remove Paralysis,"Frees one or more creatures from paralysis, hold, or slow.",vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,,8,,,,Repel Metal or Stone,Pushes away metal and stone.,vs,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,No,,,
,,,,,4,4,,,,Repel Vermin,Insects stay 10 ft. away.,vsd,1 action,10 ft.,10 minutes/level,None or Will negates,Yes,,,
,,,,,,6,,,,Repel Wood,Pushes away wooden objects.,vs,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,None,No,,,
,,,,6,7,,,,6,Repulsion,Creatures can't approach you.,vsfd,1 action,Up to 10 ft./level,1 round/level,Will negates,Yes,,,
,,,,,2,2,2,1,2,Resist Elements,Ignores 12 damage/round from one energy type.,vsd,1 action,Touch,1 minute/level,None,Yes,,,
,,,,0,0,0,1,,0,Resistance,Subject gains +1 on saving throws.,vsmd,1 action,Touch,1 minute,Will negates,Yes,,,
,,,,,4,,,,,Restoration,Restores level and ability score drains.,vsm,3 rounds,Touch,Instantaneous,Will negates,Yes,,,
,,,,,7,,,,,Resurrection,Fully restore dead subject.,vsmd,10 minutes,Touch,Instantaneous,None,Yes,,,
,,,,,,8,,,7,Reverse Gravity,Objects and creatures fall upward.,vsmd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,No,,,
,,,,,5,,,,,Righteous Might,"Your size increases, and you gain +4 Str.",vsd,1 action,Personal,1 round/level,--,--,,,
,,,,,,,,,2,Rope Trick,Up to eight creatures hide in extradimensional space.,vsm,1 action,Touch,1 hour/level,None,No,,,
,,,,,,4,,,,Rusting Grasp,Your touch corrodes iron and alloys.,vsd,1 action,Touch,See text,None,No,,,
,,,,,1,,,,,Sanctuary,"Opponents can't attack you, and you can't attack.",vsd,1 action,Touch,1 round/level,Will negates,No,,,
,,,,2,,,,,2,Scare,Panics creatures up to 5 HD (15-ft. radius).,vsm,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,,,
,,,,,,,,,8,Screen,"Illusion hides area from vision, scrying.",vs,10 minutes,Close (25 ft. + 5 ft./2 levels),1 day,None or Will disbelief,No,,,
,,,,3,5,4,,,4,Scrying,Spies on subject from a distance.,vsmfd,1 hour,See text,1 minute/level,None,No,,,
,,,,3,,,,,,Sculpt Sound,Creates new sounds or changes existing ones.,vs,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,Yes,,,
,,,,,3,,,,,Searing Light,"Ray deals 1d8/two levels, more against undead.",vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,Yes,,,
,,,,,,,,,3,Secret Page,Changes one page to hide its real content.,vsm,10 minutes,Touch,Permanent,None,No,,,
,,,,2,,,,,2,See Invisibility,Reveals invisible creatures or objects.,vsm,1 action,Medium (100 ft. + 10 ft./level),10 minutes/level,None,No,,,
,,,,,,,,,5,Seeming,Changes appearance of one person/two levels.,vs,1 action,Close (25 ft. + 5 ft./2 levels),12 hours,Will negates or Will disbelief,Y/N,,,
,,,,,4,,,,5,Sending,"Delivers short message anywhere, instantly.",vsmd,10 minutes,See text,1 round,None,No,,,
,Conj,,,3,,,,,3,Sepia Snake Sigil,Creates text symbol that immobilizes reader.,vsm,10 minutes,Touch,Permanent or until discharged; until released or 1d4 days +1 day/level,Reflex negates,No,,,
,,,,,,,,,7,Sequester,Subject is invisible to sight and scrying.,vsm,1 action,Touch,1 day/level,Will negates,Yes,,,
,,,,,,,,,6,Shades,"As shadow conjuration, but up to 5th level and 60% real.",vs,1 action,See text,See text,Will disbelief,No,,,
,,,,,,,,,4,Shadow Conjuration,Mimics conjuring below 4th level.,vs,1 action,See text,See text,Will disbelief,No,,,
,,,,,,,,,5,Shadow Evocation,Mimics evocation less than 5th level.,vs,1 action,See text,See text,Will disbelief,Yes,,,
,,,,,,,,,7,Shadow Walk,Step into shadow to travel rapidly.,vs,1 action,Touch,1 hour/level,Will negates,Yes,,,
,,,,,,9,,,,Shambler,Summons 1d4+2 shambling mounds to fight for you.,vs,1 action,Medium (100 ft. + 10 ft./level),Seven days or seven months,None,No,,,
,,,,,,9,,,9,Shapechange,"Transforms you into any creature, and change forms once per round.",vsf,1 action,Personal,10 minutes/level,--,--,,,
,,,,2,2,,,,2,Shatter,Sonic vibration damages objects or crystalline creatures.,vsmd,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,,,,,1,Shield,Invisible disc gives cover and blocks magic missiles.,vs,1 action,Personal,1 minute/level,--,--,,,
,,,,,1,,,,,Shield of Faith,Aura grants +2 or higher deflection bonus.,vsm,1 action,Touch,1 minute/level,Will negates,Yes,,,
,,,,,8,,,,,Shield of Law,"+4 AC, +4 resistance, and SR 25 against chaotic spells.",vsf,1 action,20 ft.,1 round/level,See text,Yes,,,
,,,,,2,,2,,,Shield Other,You take half of subject's damage.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,Yes,,,
,,,,,,1,,,,Shillelagh,Cudgel or quarterstaff becomes +1 weapon (1d10 damage) for 1 minute/level.,vsd,1 action,Touch,1 minute/level,Will negates,Yes,,,
,,,,,,,,,1,Shocking Grasp,Touch delivers 1d8 +1/level electricity.,vs,1 action,Touch,Until discharged,None,Yes,,,
,,,,4,,,,,4,Shout,Deafens all within cone and deals 2d6 damage.,v,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Fortitude partial,Yes,,,
,,,,,,,,,3,Shrink Item,Object shrinks to one-twelfth size.,vs,1 action,Touch,1 day/level,Will negates,Yes,,,
,,,,2,2,,,,,Silence,Negates sound in 15-ft. radius.,vs,1 action,Long (400 ft. + 40 ft./level),1 minute/level,Will negates or none,Y/N,,,
,,,,1,,,,,1,Silent Image,Creates minor illusion of your design.,vsf,1 action,Long (400 ft. + 40 ft./level),Concentration,Will disbelief,No,"This spell creates the visual illusion of an object, creature, or force, as visualized by the character. The illusion does not create sound, smell, texture, or temperature. The character can move the image within the limits of the size of the effect.",,
,,,,,,,,,7,Simulacrum,Creates partially real double of a creature.,vsmx,12 hours,Touch,Instantaneous,None,No,,,
,,,,,5,,,,,Slay Living,Touch attack kills subject.,vs,1 action,Touch,Instantaneous,Fortitude partial,Yes,,,
,,,,1,,,,2,1,Sleep,Put 2d4 HD of creatures into comatose slumber.,vsmd,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,Will negates,Yes,"A sleep spell causes a comatose slumber to come upon one or more creatures. Roll 2d4 to determine how many total HD of creatures can be affected. Creatures with the fewest HD are affected first. Among creatures with equal HD, those who are closest to the spell’s point of origin are affected first. No creature with 5 or more HD is affected, and HD that are not sufficient to affect a creature are wasted.

Creatures with fewer HD are affected first.

Sleeping creatures are helpless. Slapping or wounding awakens affected creatures, but normal noise does not. Awakening a creature is a standard action.

Sleep does not target unconscious creatures, constructs, or undead creatures.",,
,Conj,,,,,4,,,3,Sleet Storm,Hampers vision and movement.,vsmd,1 action,Long (400 ft. + 40 ft./level),1 round/level,Reflex partial,No,,,
,,,,3,,,,,3,Slow,"One subject/level takes only partial actions, -2 AC, -2 melee rolls.",vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,Will negates,Yes,,,
,,,,,,3,,2,,Snare,Creates a magical booby trap.,vsd,3 rounds,Touch,Until triggered or broken,None,No,,,
,,,,,,2,,,,Soften Earth and Stone,Turns stone to clay or dirt to sand or mud.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,Conj,,,,,,,,4,Solid Fog,Blocks vision and slows movement.,vsm,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,None,No,,,
,,,,,9,,,,9,Soul Bind,Traps newly dead soul to prevent resurrection.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),Permanent,Will negates,No,,,
,,,,2,2,,,,,Sound Burst,Deals 1d8 sonic damage to subjects; may stun them.,vsfd,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will partial,Yes,,,
,,,,,2,2,,1,,Speak with Animals,You can communicate with natural animals.,vs,1 action,Personal,1 minute/level,--,--,,,
,,,,,3,,,,,Speak with Dead,Corpse answers one question/two levels.,vsd,10 minutes,10 ft.,1 minute/level,Will negates,No,,,
,,,,,3,3,,2,,Speak with Plants,You can talk to normal plants and plant creatures.,vs,1 action,Personal,1 minute/level,--,--,,,
,,,,,,,,,2,Spectral Hand,Creates disembodied glowing hand to deliver touch attacks.,vs,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,None,No,,,
,,,,,4,,,,,Spell Immunity,Subject is immune to one spell/four levels.,vsd,1 action,Touch,10 minutes/level,Will negates,Yes,,,
,,,,,5,,,,,Spell Resistance,Subject gains +12 +1/level SR.,vsd,1 action,Touch,1 minute/level,Will negates,Yes,,,
,,,,,,,,,7,Spell Turning,Reflect 1d4+6 spell levels back at caster.,vsmd,1 action,Personal,Until expended or 10 minutes/ level,--,--,,,
,,,,,,6,,,,Spellstaff,Stores one spell in wooden quarterstaff.,vsf,10 minutes,Touch,Permanent until discharged,Will negates,Yes,,,
,,,,,,,,,1,Spider Climb,Grants ability to walk on walls and ceilings.,vsm,1 action,Touch,10 minutes/level,Will negates,Yes,,,
,,,,,,3,,,,Spike Growth,"Creatures in area take 1d4 damage, may be slowed.",vsd,1 action,Medium (100 ft. + 10 ft./level),1 hour/level,Reflex partial,Yes,,,
,,,,,,4,,,,Spike Stones,"Creatures in area take 1d8 damage, may be slowed.",vsd,1 action,Medium (100 ft. + 10 ft./level),1 hour/level,Reflex partial,Yes,,,
,,,,,2,,,,,Spiritual Weapon,Magical weapon attacks on its own.,vsd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,None,Yes,,,
,,,,,,,,,7,Statue,Subject can become a statue at will.,vsm,1 action,Touch,1 hour/level,Will negates,Yes,,,
,,,,,4,,,,,Status,"Monitors condition, position of allies.",vs,1 action,Touch,1 hour/level,Will negates,Yes,,,
,Conj,,,,,,,,3,Stinking Cloud,"Nauseating vapors, 1 round/level.",vsm,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Fortitude negates,Yes,,,
,,,,,3,3,,,5,Stone Shape,Sculpts stone into any form.,vsmd,1 action,Touch,Instantaneous,None,No,,,
,,,,,,6,,,,Stone Tell,Talk to natural or worked stone.,vsd,10 minutes,Personal,1 minute/level,--,--,,,
,,,,,,,,,6,Stone to Flesh,Restores petrified creature.,vsm,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Fortitude negates,Yes,,,
,,,,,,,,,4,Stoneskin,"Stops blows, cuts, stabs, and slashes.",vsm,1 action,Touch,10 minutes/level or until discharged,Will negates,Yes,,,
,,,,,9,,,,,Storm of Vengeance,"Storm rains acid, lightning, and hail.",vs,1 full round,Long (400 ft. + 40 ft./level),Concentration,See text,Yes,,,
,,,,2,,,,,3,Suggestion,Compels subject to follow stated course of action.,vm,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level or until completed,Will negates,Yes,"The character influences the actions of the enchanted creature by suggesting a course of activity (limited to a sentence or two). The suggestion must be worded in such a manner as to make the activity sound reasonable.

The suggested course of activity can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what he was asked to do. The character can instead specify conditions that will trigger a special activity during the duration. If the condition is not met before the spell expires, the activity is not performed.

A very reasonable suggestion causes the save to be made with a penalty (such as –1, –2, etc.) at the discretion of the DM.",,
,Conj,,,1,1,,,,1,Summon Monster I,Calls outsider to fight for you.,vsfd,1 full round,Close (25 ft. + 5 ft./2 levels),1 round/level,None,No,"This spell summons an outsider (extraplanar creature). It appears where the character designates and acts immediately, on the character’s turn. It attacks the character’s opponents to the best of its ability. If the character can communicate with the outsider, the character can direct it not to attack, to attack particular enemies, or to perform other actions. Summoned creatures act normally on the last round of the spell and disappear at the end of their turn.

The spell conjures one of the creatures from the 1st-level list on the Summon Monster table below. The character chooses which creature to summon, and can change that choice each time the spell is cast.
1st-level
Celestial dog (animal)  LG
Celestial badger (animal)  CG
Fiendish dire rat  LE
Fiendish hawk (animal)  CE

When the character uses a summoning spell to summon an air, chaotic, earth, evil, fire, good, lawful, or water creature, it is a spell of that type.",,
,Conj,,,2,2,,,,2,Summon Monster II,Calls outsider to fight for you.,vsfd,1 full round,Close (25 ft. + 5 ft./2 levels),1 round/level,None,No,"This spell summons an outsider (extraplanar creature). It appears where the character designates and acts immediately, on the character’s turn. It attacks the character’s opponents to the best of its ability. If the character can communicate with the outsider, the character can direct it not to attack, to attack particular enemies, or to perform other actions. Summoned creatures act normally on the last round of the spell and disappear at the end of their turn.

The spell conjures one of the creatures from the 2nd-level list on the Summon Monster table below or 1d3 outsiders of the same type from the 1st-level list. The character chooses which creature to summon, and can change that choice each time the spell is cast.
2nd-level
Celestial eagle (animal)  CG
Formian worker  LN
Lemure (devil)  LE
Fiendish squid (animal)  LE
Fiendish wolf (animal)  LE
Fiendish shark,
Medium-size (animal)  NE
Fiendish viper,
Tiny (animal)  CE
Fiendish hyena (animal)
[treat as wolf (animal)]  CE
Fiendish octopus (animal)  CE

When the character uses a summoning spell to summon an air, chaotic, earth, evil, fire, good, lawful, or water creature, it is a spell of that type.",,
